#time 	tag	 type*	 value
17100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
17400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
17700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
18000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
18300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
18600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
18900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
19200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
19500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
19800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
20100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
20400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
21000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
21300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
21600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
21900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
22200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
22500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
22800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
23400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
23700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
24000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
24300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
24600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
25200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
25500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
27000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
27600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
27900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
28500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
30000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
30300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
30600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
31800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
32400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
32700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
33000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
33300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
33600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
34500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
34800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
35100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
35400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
35700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
36000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
36600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
37200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
38100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
38400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
38700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
39300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
39600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
39900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
40200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
40500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
40800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
41100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
41400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
41700		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
42000		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
42300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
42600		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
42900		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
43200		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
43500		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
43800		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
44100		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
44400		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
45300		beamFederate/chargingLoad	[{"reservedFor":"default(Any)","parkingZoneId":"AO-PEV-969-2090","estimatedLoad":7.2},{"reservedFor":"household(62576)","parkingZoneId":"AO-PEV-936-12474","estimatedLoad":7.2}]
